date,return,mode,crash_detected,avg_mkt_return,selected,equity
2008-03-31,-0.011469442947233325,Offensive_Triplet,False,0.0011028387805657402,"DBC, EEM, IEF",9885.305570527667
2008-04-30,-0.0038365881925526146,Offensive_Triplet,False,-0.014801824398811895,"DBC, GLD, TLT",9847.379723896005
2008-05-31,0.005563454969179501,Offensive_Triplet,False,0.03086080207490945,"GLD, EEM, IEF",9902.165177554312
2008-06-30,0.018947444706725155,Offensive_Triplet,False,0.010705044983246677,"DBC, GLD, QQQ",10089.78590473288
2008-07-31,-0.0016960787209325257,TLT+IEF_Crash,True,-0.054202439947291466,"IEF, TLT",10072.672833561095
2008-08-31,0.017722281438927068,TLT+IEF_Def,False,-0.022145683195046003,"IEF, TLT",10251.183576359701
2008-09-30,-0.03421659710914741,Offensive_EW3,False,-0.023893576341364627,"DBC, TLT, IEF",9900.422958035493
2008-10-31,-0.016817058579106314,TLT+IEF_Crash,True,-0.07109906152386562,"IEF, TLT",9733.92696519228
2008-11-30,0.10623535949467844,TLT+IEF_Crash,True,-0.16675221836988924,"IEF, TLT",10768.014195634425
2008-12-31,0.08655895895915156,TLT+IEF_Crash,True,-0.04008606991000616,"IEF, TLT",11700.082294465908
2009-01-31,-0.047602159471597516,Offensive_Triplet,False,0.054448738285634096,"TLT, BWX, GLD",11143.133111253926
2009-02-28,-0.014080685996361475,TLT+IEF_Crash,True,-0.07814716585727358,"IEF, TLT",10986.2301528987
2009-03-31,0.03399824498489623,TLT+IEF_Crash,True,-0.07522481105411104,"IEF, TLT",11359.742697097407
2009-04-30,-0.05120473729818248,TLT+IEF_Def,False,0.061759538325989925,"IEF, TLT",10778.070056517587
2009-05-31,0.09867025608827357,Offensive_EW3,False,0.06982271477807567,"GLD, EEM, QQQ",11841.54498913153
2009-06-30,-0.006579707463472694,Offensive_Triplet,False,0.07356091740592975,"GLD, QQQ, BWX",11763.631087187494
2009-07-31,0.09223307734729569,Offensive_EW3,False,-0.008213503943765403,"EEM, QQQ, SCZ",12848.62698313711
2009-08-31,0.019263773899058274,Offensive_Triplet,False,0.05900615595743248,"QQQ, BWX, EWJ",13096.140028253601
2009-09-30,0.04395084123156234,Offensive_Triplet,False,0.030386544834500397,"VNQ, EEM, EWJ",13671.726399381685
2009-10-31,-0.03716207248650971,Offensive_Triplet,False,0.033466647824085725,"EEM, VNQ, QQQ",13163.656711912136
2009-11-30,0.07384066480613359,Offensive_Triplet,False,-0.015377078030798234,"GLD, QQQ, BWX",14135.66987479945
2009-12-31,0.012864031093651751,Offensive_Triplet,False,0.04306259826710062,"GLD, QQQ, VNQ",14317.511571598465
2010-01-31,-0.03721344963877885,Offensive_Triplet,False,-0.010824751004396452,"VNQ, RWX, GLD",13784.707575776152
2010-02-28,0.0450286534161642,Offensive_Triplet,False,-0.026561132969758528,"VNQ, QQQ, GLD",14405.414395648948
2010-03-31,0.07474602739276706,Offensive_Triplet,False,0.016633454701043146,"VNQ, EEM, EWJ",15482.161894670286
2010-04-30,0.012659068563216155,Offensive_Triplet,False,0.03274121758020614,"VNQ, RWX, VGK",15678.15164360173
2010-05-31,-0.034030365299412904,Offensive_Triplet,False,0.01604362942392968,"VNQ, SPY, GLD",15144.61841595037
2010-06-30,0.041004435589343524,TLT+IEF_Crash,True,-0.0536775350183937,"IEF, TLT",15765.614946312395
2010-07-31,0.017181360871851438,Offensive_Triplet,False,-0.014318392943227868,"GLD, VNQ, IEF",16036.48966607164
